id,target
0,0
2,1
3,1
9,0
11,1
12,1
21,0
22,0
27,0
29,0
30,0
35,0
42,0
43,0
45,0
46,0
47,0
51,1
58,0
60,0
69,0
70,0
72,0
75,1
84,0
87,1
88,0
90,1
94,0
99,1
101,0
103,1
106,1
108,0
111,1
115,0
116,0
122,1
123,0
124,1
125,0
127,1
140,0
142,1
147,0
148,0
150,1
152,0
154,0
155,0
166,0
167,0
169,1
177,0
179,0
181,0
186,0
188,0
189,0
192,0
200,1
202,1
206,1
207,1
214,1
217,1
223,0
224,1
227,1
228,1
230,0
233,1
234,1
236,1
239,1
250,1
255,0
257,0
259,1
275,1
278,0
282,0
284,0
286,1
288,1
292,1
295,0
300,0
304,1
305,1
306,1
308,0
311,0
317,0
319,0
323,0
324,0
325,1
326,0
333,0
339,0
342,0
343,0
350,0
351,1
357,0
359,0
362,0
366,0
367,0
369,0
373,0
374,1
376,0
377,0
378,0
379,1
382,0
385,0
387,0
388,0
391,0
392,0
395,0
399,0
400,0
403,0
405,0
408,0
411,0
414,0
416,0
417,1
422,0
425,0
428,0
430,0
431,0
433,0
434,0
439,0
441,0
449,0
458,0
460,0
464,0
473,1
488,0
491,0
494,1
497,0
500,1
505,0
507,0
508,0
510,0
511,0
515,1
525,0
529,0
532,0
534,0
537,0
539,1
541,0
545,0
547,1
548,1
549,1
553,1
554,0
555,1
557,0
562,0
566,1
572,0
573,1
582,1
586,0
587,0
590,1
591,0
593,0
595,0
596,1
597,0
601,0
602,0
605,1
610,1
616,0
618,0
620,1
626,1
627,0
629,0
632,1
634,0
639,0
645,1
647,1
648,0
650,0
663,0
666,1
668,0
670,0
673,1
676,1
678,0
692,0
693,0
694,0
695,0
696,1
698,0
701,0
703,1
707,1
708,1
711,1
715,1
718,0
722,0
723,0
733,1
741,0
742,1
743,1
747,0
749,0
750,0
756,0
757,0
760,0
764,0
765,0
766,0
768,0
769,0
771,0
772,0
776,0
778,0
780,1
785,0
789,0
792,0
793,0
811,1
813,0
816,0
821,0
824,0
825,0
827,0
830,1
831,1
839,1
844,0
847,1
850,0
854,1
855,1
858,0
861,1
862,0
865,1
869,1
879,1
880,1
887,1
889,1
897,1
900,0
901,1
904,1
908,0
909,0
910,1
913,1
914,0
917,1
918,1
920,1
922,1
924,1
925,0
927,0
933,0
937,0
943,0
949,0
950,1
954,0
966,0
967,0
969,0
970,1
973,0
975,0
980,0
988,0
989,0
995,0
1000,0
1003,0
1007,0
1011,0
1012,0
1013,0
1014,0
1016,1
1019,0
1025,0
1027,0
1028,1
1030,0
1033,0
1034,1
1039,0
1046,0
1047,0
1053,0
1055,0
1056,0
1059,1
1060,0
1063,1
1064,0
1068,0
1076,0
1086,0
1087,0
1089,0
1092,0
1095,0
1096,0
1097,0
1100,0
1101,0
1107,0
1108,0
1111,0
1115,0
1116,0
1121,0
1125,0
1127,0
1131,0
1133,0
1135,0
1137,0
1140,0
1144,0
1147,0
1148,0
1150,0
1158,0
1159,0
1161,0
1163,0
1165,0
1169,0
1171,0
1172,0
1176,0
1180,0
1184,0
1186,0
1187,0
1192,0
1193,0
1194,0
1197,1
1200,0
1205,0
1210,0
1216,0
1220,0
1231,0
1233,0
1246,0
1247,0
1248,0
1255,0
1256,0
1257,0
1258,0
1260,0
1261,0
1265,0
1266,0
1268,0
1274,0
1281,0
1285,0
1286,0
1291,0
1292,0
1295,0
1299,0
1306,0
1310,0
1311,0
1313,0
1314,0
1322,0
1323,0
1325,0
1329,1
1330,0
1333,0
1336,0
1339,0
1342,0
1344,0
1355,1
1357,0
1358,0
1359,0
1364,0
1366,0
1367,0
1370,1
1373,0
1377,0
1386,0
1387,1
1392,0
1397,0
1398,0
1400,0
1403,0
1404,0
1410,0
1413,0
1416,0
1417,0
1423,0
1424,0
1426,0
1427,0
1428,0
1430,0
1434,0
1435,0
1437,0
1438,0
1442,0
1446,0
1451,0
1457,0
1461,0
1462,0
1465,0
1468,0
1469,0
1471,0
1476,0
1478,0
1481,0
1489,0
1490,0
1492,0
1496,0
1512,0
1516,0
1517,0
1528,0
1529,1
1536,1
1539,0
1541,0
1542,0
1548,1
1550,1
1551,0
1552,1
1557,1
1563,0
1564,0
1565,0
1566,1
1571,0
1578,0
1581,0
1583,0
1584,0
1586,1
1589,1
1592,1
